Country,FormalEducation,UndergradMajor,YearsCoding,YearsCodingProf,Employment,CompanySize,DevType,LanguageWorkedWith,ConvertedSalary
Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,25.0,22.0,Employed full-time,14.5,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Designer;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer;Game or graphics developer,CoffeeScript;JavaScript;Objective-C;Perl;Python;Ruby;SQL,42836.0
India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",4.0,1.0,Employed full-time,59.5,Mobile developer,Java;JavaScript;SQL,3569.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,10.0,10.0,Employed full-time,0.5,Back-end developer;Front-end developer;Full-stack developer,Groovy;Java;JavaScript;PHP;SQL;TypeScript;Kotlin;HTML;CSS;Bash/Shell,1140000.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,59.5,Back-end developer;Engineering manager;Front-end developer;Full-stack developer;Mobile developer,JavaScript;PHP;Python,1879.0
Germany,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",13.0,4.0,Employed full-time,299.5,Back-end developer;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer,C#;Groovy;Java;JavaScript;Ruby;TypeScript;HTML;CSS;Bash/Shell,79552.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",16.0,13.0,Employed full-time,10.0,QA or test developer,Java;Python;SQL;Bash/Shell,46963.0
India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",16.0,7.0,Employed full-time,10.0,Back-end developer;Database administrator;Designer;System administrator,C;C++;C#;Java;JavaScript;SQL;VB.NET;Visual Basic 6;HTML;CSS;Bash/Shell,8140.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",16.0,10.0,Employed full-time,10.0,Back-end developer;Data or business analyst;Database administrator;Designer;Front-end developer;Full-stack developer,C#;Go;JavaScript;Objective-C;PHP;Python;R;Ruby;Scala;TypeScript;HTML;CSS;Bash/Shell,81000.0
Greece,"Other doctoral degree (Ph.D, Ed.D., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",10.0,10.0,Employed full-time,0.5,Designer;Embedded applications or devices developer,Assembly;C;C++;Matlab;Python;Bash/Shell,440592.0
Colombia,Associate degree,"Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,299.5,Back-end developer;Data scientist or machine learning specialist;Full-stack developer;Student,C#;JavaScript;Python;Ruby;SQL;HTML;CSS;Bash/Shell,20244.0
Poland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",4.0,4.0,Employed full-time,2.5,Back-end developer,C++;Python;Bash/Shell,33528.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",4.0,4.0,Employed full-time,749.5,Designer;Front-end developer,JavaScript;HTML;CSS,65000.0
Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,10.0,Employed full-time,59.5,Back-end developer;Front-end developer;Full-stack developer;Mobile developer,JavaScript;PHP;Swift;HTML;CSS;Bash/Shell,21708.0
Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,16.0,7.0,Employed full-time,299.5,Back-end developer;DevOps specialist,Hack;Java;JavaScript;PHP;Scala;TypeScript;HTML;CSS;Bash/Shell,58746.0
United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",13.0,7.0,Employed full-time,14.5,Back-end developer,C#;F#;JavaScript;Scala;SQL,52783.0
Slovakia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10.0,4.0,Employed full-time,299.5,Back-end developer;Desktop or enterprise applications developer;Engineering manager,Java;Bash/Shell,32316.0
Russian Federation,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",1.0,1.0,Employed full-time,14.5,Front-end developer,JavaScript;HTML;CSS,8496.0
Portugal,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",13.0,10.0,Employed full-time,299.5,Desktop or enterprise applications developer;Mobile developer,C;C++;C#;Java;SQL,45895.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,59.5,Back-end developer;Data or business analyst;Front-end developer;Full-stack developer,JavaScript;Perl;PHP;Python;SQL;HTML;CSS;Bash/Shell,60000.0
Germany,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",22.0,4.0,Employed full-time,59.5,Back-end developer;Database administrator;Mobile developer;System administrator,C#;Objective-C;PHP;SQL;Swift;VB.NET;Bash/Shell,9552.0
Mexico,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,4.0,Employed full-time,5.0,Back-end developer;Designer;Front-end developer;Full-stack developer,JavaScript;PHP;SQL;HTML;CSS,4512.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,7.0,Employed full-time,10.0,Back-end developer,C#;Java;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,38510.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)",4.0,4.0,Employed full-time,749.5,Back-end developer,JavaScript;Python;SQL;Bash/Shell,105000.0
United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A humanities discipline (ex. literature, history, philosophy)",10.0,1.0,Employed full-time,59.5,System administrator,Python;Ruby;Rust;Bash/Shell,47227.0
Russian Federation,Associate degree,Mathematics or statistics,4.0,1.0,Employed full-time,2.5,Full-stack developer,JavaScript;Python;SQL;HTML;CSS,20808.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,10.0,Back-end developer;Desktop or enterprise applications developer;Engineering manager;Front-end developer;Full-stack developer;Mobile developer,C#,100000.0
Spain,,,4.0,4.0,Employed full-time,749.5,Front-end developer,JavaScript;PHP;SQL;TypeScript;HTML;CSS;Bash/Shell,29373.0
Russian Federation,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",,4.0,4.0,Employed full-time,10.0,Mobile developer,Objective-C;Python;Swift;Bash/Shell,33972.0
United States,Some college/university study without earning a degree,"Another engineering discipline (ex. civil, electrical, mechanical)",4.0,1.0,Employed part-time,299.5,QA or test developer;Student,Assembly;C;C++;Matlab;Python;Bash/Shell,2000000.0
Sweden,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",16.0,16.0,Employed full-time,299.5,Back-end developer,C#;Java;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,74856.0
Italy,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",13.0,10.0,Employed full-time,749.5,Embedded applications or devices developer,Assembly;C;C++;Java;JavaScript;Matlab;SQL;HTML;CSS;Bash/Shell,44060.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Information systems, information technology, or system administration",10.0,7.0,Employed full-time,10.0,Database administrator;DevOps specialist;System administrator,Python;Ruby;SQL;Bash/Shell,140000.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",4.0,4.0,Employed full-time,2.5,Back-end developer;Front-end developer,Java;JavaScript;HTML;Bash/Shell,7140.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,0.5,Back-end developer;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,C;C++;C#;JavaScript;SQL;VB.NET;HTML;CSS,59500.0
Israel,Associate degree,"Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,5.0,Back-end developer;Front-end developer;Full-stack developer,C#;JavaScript;PHP;TypeScript;HTML;CSS,56172.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",4.0,1.0,Employed full-time,14.5,Mobile developer,Java;SQL,2820.0
United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,299.5,Back-end developer;Designer;Desktop or enterprise applications developer;Embedded applications or devices developer;Front-end developer;Full-stack developer;Mobile developer,C;C++;C#;Java;JavaScript;Python;HTML;CSS,51394.0
United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A humanities discipline (ex. literature, history, philosophy)",19.0,16.0,Employed full-time,59.5,"Back-end developer;C-suite executive (CEO, CTO, etc.);DevOps specialist;Engineering manager;Full-stack developer;Product manager",C#;JavaScript;SQL;HTML;CSS,83342.0
United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,14.5,Back-end developer;Database administrator;Front-end developer;Full-stack developer;Mobile developer;System administrator,Java;JavaScript;PHP;Ruby;SQL;HTML;CSS;Bash/Shell,62507.0
Portugal,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",13.0,7.0,Employed full-time,59.5,Data scientist or machine learning specialist;Engineering manager;Mobile developer,Go;Groovy;Java;JavaScript;Python;Kotlin,55075.0
Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,4.0,Employed part-time,5.0,Back-end developer;DevOps specialist;Embedded applications or devices developer;Full-stack developer;Student;System administrator,C;C#;Go;Java;JavaScript;PHP;Python,40392.0
Russian Federation,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10.0,10.0,Employed full-time,749.5,Back-end developer;Desktop or enterprise applications developer;Full-stack developer,Assembly;C;C#;JavaScript;SQL;HTML;CSS,42456.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",4.0,1.0,Employed full-time,59.5,Back-end developer;Full-stack developer,Java;JavaScript;Perl;PHP;Python;Ruby;SQL;HTML;CSS;Bash/Shell,72500.0
United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",16.0,7.0,Employed full-time,14.5,Back-end developer;Database administrator;Front-end developer;Full-stack developer,Java;JavaScript;Lua;SQL;HTML;CSS,65285.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Fine arts or performing arts (ex. graphic design, music, studio art)",13.0,10.0,Employed full-time,299.5,Front-end developer,C#;JavaScript;PHP;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell,75000.0
Bulgaria,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",25.0,19.0,Employed full-time,299.5,Back-end developer;Data or business analyst;Marketing or sales professional,JavaScript;PHP;SQL;TypeScript;HTML;CSS,58752.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",30.0,22.0,Employed full-time,299.5,System administrator,C;Perl;Python;SQL;Bash/Shell,70000.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",22.0,19.0,Employed full-time,299.5,Back-end developer;Data scientist or machine learning specialist,Java;JavaScript;Python;R;Scala;SQL;Bash/Shell,185000.0
France,"Professional degree (JD, MD, etc.)",Mathematics or statistics,4.0,4.0,Employed full-time,10.0,Desktop or enterprise applications developer,Java;R;SQL;HTML,37940.0
India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10.0,10.0,Employed full-time,10.0,Back-end developer;Full-stack developer,C;C++;Java;Python;HTML;Bash/Shell,21916.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)",4.0,4.0,Employed full-time,59.5,Back-end developer;Data scientist or machine learning specialist;DevOps specialist;Front-end developer;Full-stack developer;System administrator,JavaScript;Python;SQL;Swift;HTML;CSS;Bash/Shell,125000.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,4.0,Employed full-time,5.0,Back-end developer;Database administrator;Designer;Front-end developer;Full-stack developer;Mobile developer;QA or test developer;System administrator,CoffeeScript;Java;JavaScript;Ruby;SQL;HTML;CSS,25000.0
Germany,Primary/elementary school,,4.0,1.0,Employed full-time,299.5,Back-end developer;Database administrator;Designer;Front-end developer;Game or graphics developer;Mobile developer;Student;System administrator,,8448.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)",1.0,1.0,Employed full-time,59.5,Front-end developer,C;Python;Bash/Shell,32000.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",1.0,1.0,Employed full-time,59.5,Back-end developer;Database administrator;Front-end developer;Full-stack developer,C#;JavaScript;SQL;VBA;VB.NET;HTML;CSS;Bash/Shell,3757.0
Argentina,"Professional degree (JD, MD, etc.)","A business discipline (ex. accounting, finance, marketing)",4.0,4.0,Employed full-time,299.5,Designer;Front-end developer,Java;JavaScript;TypeScript;HTML;CSS,22884.0
United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,28.0,13.0,Employed full-time,0.5,Back-end developer;Desktop or enterprise applications developer;DevOps specialist;System administrator,Groovy;Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,75504.0
