Country,FormalEducation,UndergradMajor,YearsCoding,YearsCodingProf,Employment,CompanySize,DevType,LanguageWorkedWith,ConvertedSalary
Turkey,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A business discipline (ex. accounting, finance, marketing)",16.0,7.0,Employed full-time,59.5,Back-end developer;Desktop or enterprise applications developer;Full-stack developer;Mobile developer,C#;Java;JavaScript;PHP;SQL;Delphi/Object Pascal;HTML;CSS,36000.0
United States,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",10.0,7.0,Employed full-time,59.5,Full-stack developer,Assembly;C;C++;C#;JavaScript;Rust;SQL;HTML;CSS,97000.0
United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,7.0,Employed full-time,299.5,Back-end developer;Data or business analyst;DevOps specialist;Full-stack developer,C++;C#;JavaScript;SQL;HTML;CSS;Bash/Shell,45838.0
Sweden,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,16.0,10.0,Employed full-time,14.5,Back-end developer;Database administrator;DevOps specialist;Front-end developer;Full-stack developer;System administrator,Assembly;C;C++;CoffeeScript;JavaScript;PHP;SQL;Delphi/Object Pascal;HTML;CSS;Bash/Shell,59880.0
Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,7.0,7.0,Employed full-time,59.5,Back-end developer;Database administrator;Front-end developer;Full-stack developer,JavaScript;Perl;PHP;SQL;TypeScript;HTML;CSS,48955.0
Brazil,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,1.0,1.0,Employed full-time,299.5,Back-end developer;Front-end developer;Full-stack developer;Student,JavaScript;PHP;SQL;HTML;CSS,6732.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",7.0,4.0,Employed full-time,59.5,Full-stack developer,Java;JavaScript;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,125000.0
Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,10.0,Employed full-time,14.5,Back-end developer;Data or business analyst;Database administrator;DevOps specialist;Full-stack developer;Mobile developer,Java;JavaScript;Lua;PHP;Python;Kotlin;HTML;CSS;Bash/Shell,72469.0
Colombia,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,59.5,QA or test developer,Java;JavaScript;Python;HTML;CSS,11808.0
Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,13.0,7.0,Employed full-time,5.0,Back-end developer;Database administrator;Desktop or enterprise applications developer;Embedded applications or devices developer;Front-end developer;Mobile developer;QA or test developer,C++;Go;Java;JavaScript;Python;Swift;TypeScript;HTML;CSS;Bash/Shell,39648.0
United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,7.0,Employed full-time,59.5,Desktop or enterprise applications developer;Game or graphics developer,C++;JavaScript;Python;HTML,62507.0
Spain,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",7.0,1.0,Employed full-time,749.5,Back-end developer;Front-end developer;Full-stack developer;Mobile developer;Student,C#;JavaScript;SQL;TypeScript;HTML;CSS,29373.0
Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",19.0,16.0,Employed full-time,14.5,Full-stack developer,Java;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,74482.0
Japan,Some college/university study without earning a degree,,4.0,1.0,Employed part-time,749.5,Back-end developer;Front-end developer;Full-stack developer;Mobile developer,Java;JavaScript;PHP;Scala;SQL;Swift;HTML;CSS,12960.0
Greece,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",16.0,10.0,Employed full-time,14.5,Full-stack developer;Mobile developer,Java;Objective-C;PHP;Swift;VBA;Kotlin;HTML;CSS,73433.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",19.0,16.0,Employed full-time,299.5,Back-end developer;Full-stack developer,Go;JavaScript;PHP;Python;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell,1080000.0
United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",13.0,7.0,Employed full-time,5.0,"C-suite executive (CEO, CTO, etc.);Engineering manager;Full-stack developer;Mobile developer",JavaScript;Ruby;HTML;CSS,90288.0
Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",16.0,16.0,Employed full-time,59.5,"Back-end developer;C-suite executive (CEO, CTO, etc.);DevOps specialist;Engineering manager",Go;JavaScript;PHP;Python;SQL;Bash/Shell,122388.0
South Africa,Some college/university study without earning a degree,"Information systems, information technology, or system administration",7.0,4.0,Employed full-time,299.5,Desktop or enterprise applications developer;Product manager,C++;C#;JavaScript;HTML;CSS,37084.0
Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,10.0,4.0,Employed part-time,59.5,Embedded applications or devices developer;Student,Assembly;C;C++;C#;Java;JavaScript;Python;HTML;CSS,11748.0
United States,Associate degree,"Computer science, computer engineering, or software engineering",30.0,30.0,Employed full-time,749.5,Back-end developer,,100000.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",,7.0,1.0,Employed full-time,2.5,Back-end developer;Database administrator;Desktop or enterprise applications developer;Front-end developer,C#;Java;JavaScript;PHP;Python;SQL;HTML;CSS,60000.0
Ukraine,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",4.0,1.0,Employed full-time,59.5,Mobile developer,C;Objective-C;Swift,10440.0
Slovakia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",13.0,7.0,Employed full-time,59.5,Back-end developer;Data scientist or machine learning specialist;Educator or academic researcher;Engineering manager;Front-end developer;Full-stack developer,CoffeeScript;JavaScript;TypeScript;HTML,46992.0
Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,299.5,Back-end developer;Data or business analyst;Database administrator;Front-end developer;System administrator,C#;Java;JavaScript;Objective-C;PHP;SQL;VB.NET;Visual Basic 6;HTML;CSS,61580.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",4.0,4.0,Employed full-time,59.5,Data scientist or machine learning specialist;Engineering manager,C;C++;CoffeeScript;Haskell;Java;JavaScript;Julia;Python;R;Scala;SQL;VBA;HTML;CSS;Bash/Shell,26612.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,59.5,Front-end developer;Full-stack developer,JavaScript;Kotlin,18780.0
United Kingdom,Some college/university study without earning a degree,"A natural science (ex. biology, chemistry, physics)",1.0,1.0,Employed full-time,10.0,Back-end developer,C#;JavaScript;SQL;VBA;VB.NET;Visual Basic 6;HTML,23440.0
